ARQUIVO,NUMERO DE DESENDENTES,TAMANHO DA POPULACAO,CRITERIO DE PARADA,TAXA DE MUTACAO,TAXA DE CROSSOVER, NUMERO DE GERACOES,GENES,RESULTADO,SOLUCAO,GAP,TEMPO DE EXECUCAO
esc16a.dat,10,30,10,0.7,0.2,100,[ 11 3 1 9 7 16 6 13 5 15 8 10 2 4 12 14 ],76,68,0.11764705882352941,60.356865884
esc16a.dat,10,30,10,0.3,0.2,100,[ 2 12 11 3 8 6 5 1 10 4 7 16 15 9 14 13 ],72,68,0.058823529411764705,60.222761544
esc16a.dat,10,30,10,0.3,0.2,100,[ 5 8 16 7 2 1 9 13 14 6 11 3 15 4 10 12 ],70,68,0.029411764705882353,60.403134115
esc16a.dat,10,30,10,0.3,0.4,100,[ 8 16 12 14 7 3 5 2 6 4 9 11 1 13 15 10 ],68,68,0.0,60.475148157
esc16a.dat,10,30,10,0.3,0.4,100,[ 8 15 5 6 16 12 2 3 4 7 14 9 11 10 13 1 ],72,68,0.058823529411764705,60.259441451
esc16a.dat,10,30,30,0.3,0.2,100,[ 11 3 7 4 9 14 10 15 16 12 8 2 5 1 13 6 ],68,68,0.0,180.159199433
esc16a.dat,10,30,30,0.3,0.2,100,[ 10 12 4 11 14 5 13 1 2 9 6 3 16 7 15 8 ],68,68,0.0,4524.211500241
esc16a.dat,10,30,10,0.3,0.2,100,[ 2 3 11 5 4 12 6 10 9 1 7 15 14 8 13 16 ],72,68,0.058823529411764705,60.247553243
esc16a.dat,10,30,10,0.3,0.2,100,[ 4 8 16 14 2 1 9 10 6 12 3 13 15 5 11 7 ],72,68,0.058823529411764705,60.201354394
esc16a.dat,10,30,20,0.3,0.2,100,[ 12 3 1 11 8 6 16 10 2 4 15 13 14 7 5 9 ],68,68,0.0,120.055842596
esc16a.dat,10,30,20,0.3,0.2,100,[ 10 1 5 14 4 12 16 6 8 2 15 7 3 9 13 11 ],70,68,0.029411764705882353,120.194855846
esc16a.dat,10,30,10,0.3,0.4,100,[ 12 10 1 11 16 8 15 3 7 4 5 9 6 14 13 2 ],74,68,0.08823529411764706,60.192628629
esc16a.dat,10,30,10,0.3,0.4,100,[ 1 9 15 13 2 3 8 6 7 5 16 10 14 12 4 11 ],74,68,0.08823529411764706,60.526278905
esc16a.dat,10,30,20,0.3,0.2,100,[ 1 10 2 11 5 7 15 3 13 9 12 6 8 4 16 14 ],72,68,0.058823529411764705,120.100781887
esc16a.dat,10,30,20,0.3,0.2,100,[ 6 7 3 1 8 14 10 4 2 5 15 12 13 9 16 11 ],70,68,0.029411764705882353,120.123045848
esc16a.dat,10,30,20,0.3,0.2,100,[ 10 16 8 6 11 3 1 2 4 12 14 9 15 13 7 5 ],68,68,0.0,120.17688734
